brand,name,price,explain,patty,wordlist
롯데리아,왕돈까스버거,7500,"압도적인 크기의 K-style 왕돈까스버거 돈까스, 저민 양상추, 저민 피클, 마요네즈 소스, 케첩 소스, 데리야끼 소스",소고기 패티,압도 크기 돈까스 양상추 피클 마요네즈 소스 케첩 데리야끼
롯데리아,매운 왕돈까스버거,7500,"압도적인 크기의 매콤한 왕돈까스버거 돈까스, 저민 양상추, 저민 피클, 마요네즈 소스, 케첩 소스, 데리야끼 소스",소고기 패티,압도 크기 매콤 왕돈 끄다 돈까스 양상추 피클 마요네즈 소스 케첩 데리야끼
롯데리아,전주 비빔라이스 버거,6900,"전주비빔밥을 담은 라이스번과 노른자가 터지는 반숙란,달콤한 고추장 소스가 어우러진 새로운 라이스 버거 라이스번, 반숙란, 양파, 양상추, 고추장소스, 소고기패티",소고기 패티,비빔밥 담다 라이스 노른자 터지다 숙란 달콤하다 고추장 소스 어우러지다 새롭다 양파 양상추 소고기 패티
롯데리아,새우베이컨버거,5800,"베이컨+토마토로 더욱 풍성해진 맛과 볼륨감의 새우버거 업그레이드 한정판 타르타르소스, 새우패티, 양상추, 사우전드 아일랜드 드레싱, 베이컨, 토마토",새우 패티,베이컨 토마토 더욱 성하다 볼륨 새우 업그레이드 한정판 타르 소스 패티 양상추 우전 아일랜드 드레싱
롯데리아,불고기 베이컨,5800,"베이컨+토마토로 더욱 풍성해진 맛과 볼륨감의 불고기버거 업그레이드 한정판 마요네즈, 양파, 불고기패티, 불고기소스, 상추, 베이컨, 토마토",소고기 패티,베이컨 토마토 더욱 성하다 볼륨 불고기 업그레이드 한정판 마요네즈 양파 패티 소스 상추
롯데리아,더블 한우불고기,12400,"국내산 한우를 사용한 패티 2장 구성으로 육즙 가득! 묵직한 육풍미를 특징으로 한 프리미엄 버거 포테이토 번, 양파, 한우불고기 패티, 스모크 불고기 소스, 양상추, 피클, 토마토",소고기 패티,국내 한우 사용 패티 구성 육즙 가득 묵직하다 육풍 밉다 특징 프리미엄 포테이토 양파 불고기 스모크 소스 양상추 피클 토마토
롯데리아,한우불고기,8400,"브리오쉬번에 국내산 한우를 사용한 패티, 신선한 야채, 특제소스로 완성한 프리미엄 햄버거 포테이토 번, 양파, 한우불고기 패티, 스모크 불고기 소스, 양상추, 피클, 토마토",소고기 패티,브리 오쉬 국내 한우 사용 패티 신선하다 야채 특제 소스 완성 프리미엄 햄버거 포테이토 양파 불고기 스모크 양상추 피클 토마토
롯데리아,더블 클래식치즈버거(버터번),6900,"두 장의 패티가 이루는 조화로운 맛에 든든함까지 추가된 더블 클래식치즈버거 버터 번, 머스타드, 마요네즈, 저민 양파, 저민 피클, 치즈, 소고기패티",소고기 패티,장의 패티 이루다 조화롭다 든든하다 추가 더블 클래식 치즈버거 버터 머스타드 마요네즈 양파 피클 치즈 소고기
롯데리아,더블 치킨버거,5500,"두 장의 패티가 이루는 조화로운 맛에 든든함까지 추가된 더블버거 시리즈 닭다리살패티, 데리야끼소스, 양상추, 마요네즈, 머스타드",소고기 패티,장의 패티 이루다 조화롭다 든든하다 추가 더블 시리즈 닭다리 데리야끼 소스 양상추 마요네즈 머스타드
롯데리아,더블 데리버거,4500,"두 장의 패티가 이루는 조화로운 맛에 든든함까지 추가된 더블버거 시리즈 소고기패티, 데리야끼소스, 양상추, 저민 양파, 마요네즈",소고기 패티,장의 패티 이루다 조화롭다 든든하다 추가 더블 시리즈 소고기 데리야끼 소스 양상추 양파 마요네즈
롯데리아,빅불,7100,"불고기 특유의 소스와 쇠고기의 진함을 배로 느끼는 제품 마요네즈, 양파, 양상추, 피클, 불고기 소스, 불고기 패티, 치즈",소고기 패티,불고기 특유 소스 쇠고기 진하다 느끼다 제품 마요네즈 양파 양상추 피클 패티 치즈
롯데리아,불고기버거,4700,"두툼한 쇠고기패티와 한국적인 맛의 소스가 잘 조화된 롯데리아 대표 버거 마요네즈, 양파, 불고기패티, 불고기소스, 상추",소고기 패티,두툼 쇠고기 패티 한국 소스 자다 조화 롯데리아 대표 마요네즈 양파 불고기 상추
롯데리아,모짜렐라 인 더 버거 베이컨,7400,"자연산 모짜렐라 치즈와 고소한 베이컨이 만나 풍부한 맛의 버거 마요네즈, 양상추, 베이컨, 소고기패티, 모짜렐라치즈 패티",소고기 패티,자연 모짜렐라 치즈 고소하다 베이컨 만나다 풍부하다 마요네즈 양상추 소고기 패티
롯데리아,DoubleX2,6800,"비프패티2장, 치즈2장으로 깊고 풍부한맛의 정통 아메리칸버거 참깨 번, 마요네즈, 저민 양파, 저민 피클, 양상추, 치즈, 소고기패티, 케찹",소고기 패티,비프 패티 치즈 깊다 풍부하다 정통 아메리칸 참깨 마요네즈 양파 피클 양상추 소고기 케찹
롯데리아,사각새우더블버거,5700,"미니새우패티 2장의 새우 매니아를 위한버거 타르타르소스, 새우패티, 양상추, 사우전드 아일랜드 드레싱",새우 패티,미니 새우 패티 장의 매니아 타르 소스 양상추 우전 아일랜드 드레싱
롯데리아,새우버거,4700,"새우살을 가득넣어 더 맛있어진 오리지널 새우버거 타르타르소스, 새우패티, 양상추, 사우전드 아일랜드 드레싱",새우 패티,새우 가득 넣다 맛있다 리지 타르 타르소스 패티 양상추 우전 아일랜드 드레싱
롯데리아,리아미라클 II,5200,"100% 식물성 패티와 신선한 야채들이 조화된 대체육버거 소이어니언소스, 저민 양파, 양상추, 오니포테패티, 밀+콩단백질 조합 패티, 시그니쳐소스(?)",소고기 패티,식물성 패티 신선하다 야채 조화 체육 소이 어니언 소스 양파 양상추 오니 포테 단백질 조합 그니 치다
롯데리아,더블리아미라클 II,6700,"100% 식물성 패티와 신선한 야채들이 조화된 대체육버거 소이어니언소스, 저민 양파, 양상추, 오니포테패티, 밀+콩단백질 조합 패티, 시그니쳐소스(?)",소고기 패티,식물성 패티 신선하다 야채 조화 체육 소이 어니언 소스 양파 양상추 오니 포테 단백질 조합 그니 치다
롯데리아,핫크리스피버거,5900,"닭가슴살 패티로 만든 매콤 화끈한 프리미엄 치킨버거 마요네즈, 양상추, 토마토, 핫크리스피 치킨 패티(닭가슴살)",치킨 패티,가슴 패티 매콤 화끈하다 프리미엄 치킨 마요네즈 양상추 토마토 크리스
롯데리아,클래식치즈버거(버터번),5200,"부드러운 치즈와 호주산 쇠고기패티의 본연의 맛을 느낄수 있는 치즈버거 버터 번, 머스타드, 마요네즈, 저민 양파, 저민 피클, 치즈, 소고기패티",소고기 패티,부드럽다 치즈 호주 쇠고기 패티 본연 느끼다 치즈버거 버터 머스타드 마요네즈 양파 피클 소고기
롯데리아,T-REX,4700,"빵보다 큰 쫄깃한 통닭다리살 패티와 부드러운 크림 소스의 만남 크림어니언소스, 양파, 양상추, 피클2개, 통다리살 치킨 패티",치킨 패티,보다 크다 쫄깃 통닭 다리 패티 부드럽다 크림 소스 어니언 양파 양상추 피클 치킨
롯데리아,치킨버거,4000,"닭고기패티와 데리야끼 소스로 만든 담백하고 달콤한 맛의 치킨버거 닭다리살패티, 데리야끼소스, 양상추, 마요네즈, 머스타드",치킨 패티,닭고기 패티 데리야끼 소스 담백하다 달콤하다 치킨 닭다리 양상추 마요네즈 머스타드
롯데리아,데리버거,3300,"쇠고기패티에 달콤 짭짤한 데리소스를 더한 가성비 버거 소고기패티, 데리야끼소스, 양상추, 저민 양파, 마요네즈",소고기 패티,쇠고기 패티 달콤 짭짤하다 데리 소스 더하다 가성 소고기 데리야끼 양상추 양파 마요네즈
KFC,트위스터,4600,"담백한 닭안심살과 신선한 채소를 또띠아에 담았다 토르티야, 양상추, 양파, 치킨 패티",치킨 패티,담백하다 안심 신선하다 채소 또띠아 담다 토르티야 양상추 양파 치킨 패티
KFC,불고기,4600,"부드러운 불고기 패티와 달콤한 소스의 KFC불고기버거 빵, 양상추, 마요네즈, 불고기 패티",소고기 패티,부드럽다 불고기 패티 달콤하다 소스 양상추 마요네즈
KFC,징거,5800,"신선한 채소와 통가슴살 필렛의 KFC 시그니처 징거버거 빵, 양상추, 마요네즈, 치킨 패티",치킨 패티,신선하다 채소 가슴 필렛 징거버거 양상추 마요네즈 치킨 패티
KFC,클래식징거통다리,6300,"통닭다리살과 켄터키 시크릿 소스의 맛과 풍미 브리오슈 번, 치킨 패티, 양상추, 머스타드 소스",치킨 패티,통닭 다리 켄터키 시크릿 소스 밉다 브리 오슈 치킨 패티 양상추 머스타드
KFC,징거타워,6600,"투툼한 통가슴살 필렛과 해시브라운, 슬라이스 치즈까지! KFC 시그니처 버거 양상추, 해시 브라운, 치즈, 닭가슴살, 토마토 케첩",소고기 패티,투툼 가슴 필렛 해시 브라운 라이스 치즈 양상추 토마토 케첩
KFC,칠리징거통다리,6900,"매콤한 칠리소스와 육즙 터지는 통다리살의 환상적인 만남 브리오슈 번, 치킨 패티, 양상추, 피클, 마요네즈, 칠리 소스",치킨 패티,매콤 칠리소스 육즙 터지다 다리 살의 환상 브리 오슈 치킨 패티 양상추 피클 마요네즈 칠리 소스
KFC,징거BLT,7000,"토마토, 양상추, 치즈, 베이컨이 어우러진 프리미엄 징거버거 양상추, 해시 브라운, 치즈, 닭가슴살, 토마토 케첩, 베이컨",소고기 패티,토마토 양상추 치즈 베이컨 어우러지다 프리미엄 징거버거 해시 브라운 가슴 케첩
KFC,켄터키통다리스파이시,7300,"촉촉한 브리오슈 번 사이에 큼직하고 부드러운 통다리살 치킨 필렛, 아삭한 피클 그리고 스파이시 소스 브리오슈 번, 치킨 패티, 피클, 스파이시마요소스",치킨 패티,촉촉하다 브리 오슈 사이 큼직하다 부드럽다 다리 치킨 필렛 피클 스파이 소스 패티 시마
KFC,징거더블다운,7800,"No bun, All meat! 빵 없이 치킨 통살로 만든 리얼 치킨버거 가슴살 패티 두장, 해쉬브라운, 치즈, 살사 소스",치킨 패티,없이 치킨 살로 리얼 가슴 패티 브라운 치즈 살사 소스
KFC,블랙라벨폴인치즈,8000,"부드러운 통다리살, 크림치즈와 고다치즈, 그리고 블루치즈의 완벽한 조화 브리오슈 번, 블랙라벨 패티, 슬라이스 치즈, 치즈 소스",소고기 패티,부드럽다 다리 크림 치즈 고다 블루 완벽하다 조화 브리 오슈 블랙 라벨 패티 라이스 소스
버거킹,와퍼주니어,4700,"불에 직접 구운 순 쇠고기 패티가 들어간 와퍼의 주니어 버전~ 작지만 꽉 찼다! 빵, 케첩, 마요네즈, 양상추, 토마토, 패티, 양파, 피클",소고기 패티,직접 쇠고기 패티 와퍼 주니어 버전 차다 케첩 마요네즈 양상추 토마토 양파 피클
버거킹,치즈와퍼주니어,5000,"불에 직접 구운 순 쇠고기 패티가 들어간 와퍼주니어에 고소한 치즈 추가! 빵, 케첩, 마요네즈, 양상추, 토마토, 패티, 양파, 피클, 치즈",소고기 패티,직접 쇠고기 패티 와퍼 주니어 고소하다 치즈 추가 케첩 마요네즈 양상추 토마토 양파 피클
버거킹,불고기와퍼주니어,4700,"불에 직접 구운 순 쇠고기 패티가 들어간 와퍼주니어에 달콤한 불고기 소스까지! 빵, 불고기 소스 , 마요네즈, 양상추, 토마토, 패티, 양파, 피클",소고기 패티,직접 쇠고기 패티 와퍼 주니어 달콤하다 불고기 소스 마요네즈 양상추 토마토 양파 피클
버거킹,와퍼,7100,"불에 직접 구운 순 쇠고기 패티에 싱싱한 야채가 한가득~ 버거킹의 대표 메뉴! 빵, 케첩, 마요네즈, 양상추, 토마토, 패티, 양파, 피클",소고기 패티,직접 쇠고기 패티 싱싱하다 야채 가득 버거킹 대표 메뉴 케첩 마요네즈 양상추 토마토 양파 피클
버거킹,치즈와퍼,7700,"불에 직접 구운 순 쇠고기 패티가 들어간 와퍼에 고소한 치즈까지! 빵, 케첩, 마요네즈, 양상추, 토마토, 패티, 양파, 피클, 치즈",소고기 패티,직접 쇠고기 패티 와퍼 고소하다 치즈 케첩 마요네즈 양상추 토마토 양파 피클
버거킹,불고기와퍼,7100,"불에 직접 구운 순 쇠고기 패티가 들어간 와퍼에 달콤한 불고기 소스까지! 빵, 불고기 소스 , 마요네즈, 양상추, 토마토, 패티, 양파, 피클",소고기 패티,직접 쇠고기 패티 와퍼 달콤하다 불고기 소스 마요네즈 양상추 토마토 양파 피클
버거킹,베이컨치즈와퍼,8900,"풍미 가득한 아메리칸 클래식의 완벽한 조화! 빵, 케첩, 마요네즈, 양상추, 토마토, 패티, 양파, 피클, 치즈, 롱베이컨",소고기 패티,밉다 가득하다 아메리칸 클래식 완벽하다 조화 케첩 마요네즈 양상추 토마토 패티 양파 피클 치즈 베이컨
버거킹,갈릭불고기와퍼,7400,nan,소고기 패티,
버거킹,콰트로치즈와퍼주니어,5300,"진짜 불맛을 즐겨라, 4가지 고품격 치즈와 불에 직접 구운 와퍼 패티의 만남! 빵, 케첩, 마요네즈, 양상추, 토마토, 패티, 양파, 피클, 치즈",소고기 패티,진짜 즐기다 가지 고품격 치즈 직접 와퍼 패티 케첩 마요네즈 양상추 토마토 양파 피클
버거킹,통새우와퍼주니어,5300,"불맛 가득 순쇠고기, 갈릭페퍼 통새우, 스파이시토마토소스가 더해진 프리미엄 버거 빵, 케첩, 마요네즈, 양상추, 토마토, 패티, 양파, 피클, 통새우, 스파이시토마토소스",새우 패티,불맛 가득 쇠고기 갈릭 페퍼 새우 스파이 토마토 소스 더하다 프리미엄 케첩 마요네즈 양상추 패티 양파 피클
버거킹,핫칠리러버,3900,"소스라치는 매콤함, 소스라치는 가격 3,900 빵, 쇠고기패티, 양상추, 생양파, 크리미 칠리소스",소고기 패티,소스 치다 매콤 가격 쇠고기 패티 양상추 양파 크리미 칠리소스
버거킹,핫칠리러버 몬스터,4900,"바삭한 킹치킨 패티와 순쇠고기 패티, 매콤한 소스까지 전부! 빵, 쇠고기패티, 치킨패티,  양상추, 생양파, 크리미 칠리소스",치킨 패티,바삭 치킨 패티 쇠고기 매콤 소스 양상추 양파 크리미 칠리소스
버거킹,핫칠리러버 더블,4900,"매콤한 소스에 순쇠고기 패티를 두 배로! 빵, 쇠고기패티, 양상추, 생양파, 크리미 칠리소스",소고기 패티,매콤 소스 쇠고기 패티 양상추 양파 크리미 칠리소스
버거킹,더블비프불고기버거,5000,"달콤한 불고기 소스에 더블 패티로 더욱 깊어진 감칠맛! 에그번, 간장불고기소스, 쇠고기패티, 양파, 양상추",소고기 패티,달콤하다 불고기 소스 더블 패티 더욱 깊다 감칠맛 간장 쇠고기 양파 양상추
버거킹,치킨킹BLT,7400,"스파이시한 통닭다리살 프리미엄 치킨버거에 베이컨, 양상추, 토마토를 더했다. 치킨킹 BLT! 번, 치킨패티, 피클, 베이컨, 토마토, 양상추, 마요네즈. 스모키 머스터드",치킨 패티,스파이 시한 통닭 다리 프리미엄 치킨 베이컨 양상추 토마토 더하다 패티 피클 마요네즈 스모키 머스터드
버거킹,치킨킹,6400,"스파이시한 통닭다리살과 고소한 브리오쉬번이 만나 더 풍부해진 프리미엄 치킨버거. 치킨킹! 번, 치킨패티, 양상추, 피클, 마요네즈, 스모키 머스터드 소스",치킨 패티,스파이 시한 통닭 다리 고소하다 브리 오쉬 만나다 풍부하다 프리미엄 치킨 패티 양상추 피클 마요네즈 스모키 머스터드 소스
버거킹,비프&슈림프버거,7000,"불맛가득 순쇠고기 패티에 새콤달콤 특제소스 듬뿍! 에그번, 양상추, 레몬 특제소스, 토마토, 양파, 머스타드 소스, 슈림프 패티, 비프 패티",소고기 패티,불맛 가득 쇠고기 패티 콤달콤 특제 소스 듬뿍 양상추 레몬 토마토 양파 머스타드 림프 비프
버거킹,통새우슈림프버거,6000,"통통한 통새우에 새콤달콤 특제소스 듬뿍! 통새우 슈림프 버거 에그번, 양상추, 레몬 특제소스, 통새우 2마리, 슈림프 패티, 에그번",새우 패티,통통하다 새우 콤달콤 특제 소스 듬뿍 림프 양상추 레몬 마리 패티
버거킹,슈림프버거,5000,"탱글한 새우패티에 새콤달콤 특제소스 듬뿍! 에그번, 양상추, 레몬 특제소스,  슈림프 패티, 에그번",새우 패티,새우 패티 콤달콤 특제 소스 듬뿍 양상추 레몬 림프
버거킹,롱치킨버거,4700,"담백한 치킨 패티에 부드러운 마요네즈 소스와 싱싱한 야채가 듬뿍~ 양상추, 피클, 치킨패티, 마요네즈 소스",치킨 패티,담백하다 치킨 패티 부드럽다 마요네즈 소스 싱싱하다 야채 듬뿍 양상추 피클
버거킹,바비큐치킨버거,3700,"진한 바비큐 소스가 가득! 양상추, 피클, 치킨패티, 바비큐 소스",치킨 패티,진하다 바비큐 소스 가득 양상추 피클 치킨 패티
버거킹,치킨버거,3700,"부드러운 에그번과 킹치킨패티의 만남! 풍부한 마요 소스로 고소하게! 양상추, 피클, 치킨패티, 소스",치킨 패티,부드럽다 치킨 패티 풍부하다 소스 고소하다 양상추 피클
버거킹,통모짜와퍼,8900,"통모짜렐라 치즈가 통째로 늘어나다 쇠고기 패티, 통모짜렐라 튀김 패티, 베이컨, 생양파, 토마토, 양상추, 디아블로 소스",소고기 패티,통모 짜다 렐라 치즈 통째 늘어나다 쇠고기 패티 모짜렐라 튀김 베이컨 양파 토마토 양상추 디아블로 소스
버거킹,더블통모짜와퍼,10900,"통모짜렐라 치즈가 통째로, 불 맛 가득 와퍼 패티는 두 배로 쇠고기 패티, 통모짜렐라 튀김 패티, 베이컨, 생양파, 토마토, 양상추, 디아블로 소스",소고기 패티,통모 짜다 렐라 치즈 통째 가득 와퍼 패티 쇠고기 모짜렐라 튀김 베이컨 양파 토마토 양상추 디아블로 소스
버거킹,통모짜와퍼주니어,5900,"통째로 늘어나는 통모짜렐라 치즈를 와퍼주니어로 쇠고기 패티, 통모짜렐라 튀김 패티, 베이컨, 생양파, 토마토, 양상추, 디아블로 소스",소고기 패티,통째 늘어나다 모짜렐라 치즈 와퍼주니어 쇠고기 패티 튀김 베이컨 양파 토마토 양상추 디아블로 소스
버거킹,몬스터와퍼,9300,"불맛 가득 순쇠고기, 치킨, 베이컨에 화끈한 디아블로 소스의 압도적인 맛 쇠고기 패티, 치킨패티, 베이컨, 슬라이스 치즈, 양상추, 토마토, 생양파, 마요네즈",치킨 패티,불맛 가득 쇠고기 치킨 베이컨 화끈하다 디아블로 소스 압도 패티 라이스 치즈 양상추 토마토 양파 마요네즈
버거킹,통새우와퍼,7900,"불맛 가득 순쇠고기, 갈릭페퍼 통새우, 스파이시토마토소스가 더해진 프리미엄 버거 번, 쇠고기 패티 , 새우 4마리, 양상추, 토마토, 생양파, 마요네즈, 스파이시 토마토 소스",새우 패티,불맛 가득 쇠고기 갈릭 페퍼 새우 스파이 토마토 소스 더하다 프리미엄 패티 마리 양상추 양파 마요네즈
버거킹,콰트로치즈와퍼,7900,"진짜 불맛을 즐겨라, 4가지 고품격 치즈와 불에 직접 구운 와퍼 패티의 만남! 빵, 케첩, 마요네즈, 양상추, 토마토, 패티, 양파, 피클, 치즈",소고기 패티,진짜 즐기다 가지 고품격 치즈 직접 와퍼 패티 케첩 마요네즈 양상추 토마토 양파 피클
